tbpkid,batch,lc,prov,cnty,lc_prov,lc_cnty
121255,1409,LC328,61,610429,61,610104
121256,1409,LC106,32,320504,32,320500
121257,1409,LC115,41,410721,31,310106
121258,1409,LC330,34,342622,61,610113
121259,1409,LC324,15,150105,15,150100
121260,1409,LC159,44,441426,44,440303
121261,1409,LC022,33,332528,33,330100
121262,1409,LC199,37,370211,37,371500
121263,1409,LC199,37,370982,37,371500
121264,1409,LC115,31,310113,31,310106
121265,1409,LC115,44,440582,31,310106
121266,1409,LC001,61,610322,61,610103
121267,1409,LC091,61,612321,61,610700
121268,1409,LC200,37,370684,37,370600
121269,1409,LC320,32,320321,32,320100
121270,1409,LC004,61,610303,61,610300
121271,1409,LC165,13,130182,13,130100
121272,1409,LC028,53,532101,53,530100
121273,1409,LC003,61,610525,61,610114
121274,1409,LC113,61,610424,61,610400
121275,1409,LC001,61,610326,61,610103
121276,1409,LC320,37,371427,32,320100
121277,1409,LC091,61,612327,61,610700
121278,1409,LC004,61,610326,61,610300
121279,1409,LC165,13,130525,13,130100
121280,1409,LC324,15,150105,15,150100
121281,1409,LC165,13,130182,13,130100
121282,1409,LC022,14,141034,33,330100
121283,1409,LC200,37,371002,37,370600
121284,1409,LC002,61,612501,61,611000
121285,1409,LC334,61,612401,33,330326
121286,1409,LC165,62,620103,13,130100
121287,1409,LC320,50,500228,32,320100
121288,1409,LC160,61,610430,61,610103
121289,1409,LC334,61,612401,33,330326
121290,1409,LC115,32,320683,31,310106
121291,1409,LC160,61,610528,61,610103
121292,1409,LC033,61,612401,61,610900
121293,1409,LC057,36,360103,36,360100
121294,1409,LC320,50,500381,32,320100
121295,1409,LC165,13,130102,13,130100
121296,1409,LC115,31,310230,31,310106
121297,1409,LC160,61,610526,61,610103
121298,1409,LC115,31,310107,31,310106
121299,1409,LC001,61,610203,61,610103
121300,1409,LC033,42,421302,61,610900
121301,1409,LC199,37,370622,37,371500
121302,1409,LC056,62,620102,62,620100
121303,1409,LC326,13,131122,44,440300
121304,1409,LC165,13,130121,13,130100
121305,1409,LC160,61,612723,61,610103
121306,1409,LC002,61,612522,61,611000
121307,1409,LC115,31,310115,31,310106
121308,1409,LC169,61,610221,61,610200
121309,1409,LC158,41,413029,44,441900
121310,1409,LC018,14,140828,14,140800
121311,1409,LC004,61,610324,61,610300
121312,1409,LC160,61,610429,61,610103
121313,1409,LC091,61,612327,61,610700
121314,1409,LC163,13,130706,61,610113
121315,1409,LC165,13,130104,13,130100
121316,1409,LC163,61,612423,61,610113
121317,1409,LC056,62,620102,62,620100
121318,1409,LC091,61,612324,61,610700
121319,1409,LC115,31,310113,31,310106
121320,1409,LC033,61,612426,61,610900
121321,1409,LC091,41,410422,61,610700
121322,1409,LC334,61,610126,33,330326
121323,1409,LC115,31,310230,31,310106
121324,1409,LC115,31,310108,31,310106
121325,1409,LC020,32,320311,32,320300
121326,1409,LC334,61,610102,33,330326
121327,1409,LC165,13,130122,13,130100
121328,1409,LC004,61,610326,61,610300
121329,1409,LC115,37,372927,31,310106
121330,1409,LC169,61,610221,61,610200
121331,1409,LC002,61,612501,61,611000
121332,1409,LC115,31,310112,31,310106
121333,1409,LC001,61,610523,61,610103
121334,1409,LC106,61,610502,32,320500
121335,1409,LC091,61,612325,61,610700
121336,1409,LC001,53,532901,61,610103
121337,1409,LC091,61,612325,61,610700
121338,1409,LC165,13,130185,13,130100
121339,1409,LC001,61,610104,61,610103
121340,1409,LC334,61,612401,33,330326
121341,1409,LC159,44,441402,44,440303
121342,1409,LC113,61,610426,61,610400
121343,1409,LC115,31,310112,31,310106
121344,1409,LC169,61,610221,61,610200
121345,1409,LC165,13,132326,13,130100
121346,1409,LC056,62,622827,62,620100
121347,1409,LC091,61,612326,61,610700
121348,1409,LC001,61,610426,61,610103
121349,1409,LC165,13,130104,13,130100
121350,1409,LC116,61,612731,61,610800
121351,1409,LC004,61,610323,61,610300
121352,1409,LC004,61,610302,61,610300
121353,1409,LC165,13,133025,13,130100
121354,1409,LC016,41,410181,41,410100
121355,1409,LC334,61,610103,33,330326
121356,1409,LC165,13,130123,13,130100
121357,1409,LC056,62,622726,62,620100
121358,1409,LC339,44,441900,36,361100
121359,1409,LC165,13,130124,13,130100
121360,1409,LC327,34,342222,34,340100
121361,1409,LC091,61,612327,61,610700
121362,1409,LC349,62,622424,62,621100
121363,1409,LC091,61,612325,61,610700
121364,1409,LC282,62,620502,62,620500
121365,1409,LC115,31,310109,31,310106
121366,1409,LC115,31,310106,31,310106
121367,1409,LC112,62,620121,61,610500
121368,1409,LC200,37,370684,37,370600
121369,1409,LC326,44,440204,44,440300
121370,1409,LC282,62,620524,62,620500
121371,1409,LC001,61,610102,61,610103
121372,1409,LC091,61,612325,61,610700
121373,1409,LC160,61,610113,61,610103
121374,1409,LC056,62,620102,62,620100
121375,1409,LC033,61,612422,61,610900
121376,1409,LC326,44,441421,44,440300
121377,1409,LC158,61,612429,44,441900
121378,1409,LC030,43,430681,43,430100
121379,1409,LC056,62,620102,62,620100
121380,1409,LC091,61,612324,61,610700
121381,1409,LC165,13,130902,13,130100
121382,1409,LC091,61,612322,61,610700
121383,1409,LC165,13,130532,13,130100
121384,1409,LC018,14,142601,14,140800
121385,1409,LC159,61,610402,44,440303
121386,1409,LC030,43,430111,43,430100
121387,1409,LC115,31,310229,31,310106
121388,1409,LC115,31,310104,31,310106
121389,1409,LC033,61,612426,61,610900
121390,1409,LC056,62,620104,62,620100
121391,1409,LC056,62,620111,62,620100
121392,1409,LC018,14,142725,14,140800
121393,1409,LC091,61,612327,61,610700
121394,1409,LC091,61,612324,61,610700
121395,1409,LC112,61,610102,61,610500
121396,1409,LC349,62,620102,62,621100
121397,1409,LC056,62,620102,62,620100
121398,1409,LC033,61,612401,61,610900
121399,1409,LC115,31,310107,31,310106
121400,1409,LC002,61,612523,61,611000
121401,1409,LC116,61,612729,61,610800
121402,1409,LC160,61,612723,61,610103
121403,1409,LC113,13,130682,61,610400
121404,1409,LC113,61,610113,61,610400
121405,1409,LC091,61,612321,61,610700
121406,1409,LC328,61,610326,61,610104
121407,1409,LC005,61,612729,61,610800
121408,1409,LC002,61,612501,61,611000
121409,1409,LC002,61,612501,61,611000
121410,1409,LC113,61,610125,61,610400
121411,1409,LC031,13,130434,13,130400
121412,1409,LC091,61,612327,61,610700
121413,1409,LC010,61,610202,61,610400
121414,1409,LC113,61,610428,61,610400
121415,1409,LC165,61,610526,13,130100
121416,1409,LC115,31,310104,31,310106
121417,1409,LC091,61,612327,61,610700
121418,1409,LC020,32,320323,32,320300
121419,1409,LC334,61,610424,33,330326
121420,1409,LC004,61,610328,61,610300
121421,1409,LC256,61,610528,61,610429
121422,1409,LC320,32,320911,32,320100
121423,1409,LC282,62,620502,62,620500
121424,1409,LC002,61,612501,61,611000
121425,1409,LC056,62,620503,62,620100
121426,1409,LC033,61,612401,61,610900
121427,1409,LC056,62,622727,62,620100
121428,1409,LC056,62,620523,62,620100
121429,1409,LC031,13,130403,13,130400
121430,1409,LC033,61,612401,61,610900
121431,1409,LC334,61,610522,33,330326
121432,1409,LC005,61,612701,61,610800
121433,1409,LC115,31,310105,31,310106
121434,1409,LC004,61,610322,61,610300
121435,1409,LC005,61,612701,61,610800
121436,1409,LC200,37,370602,37,370600
121437,1409,LC320,41,412725,32,320100
121438,1409,LC033,61,612732,61,610900
121439,1409,LC001,33,330321,61,610103
121440,1409,LC030,43,430124,43,430100
121441,1409,LC001,61,610104,61,610103
121442,1409,LC200,37,371082,37,370600
121443,1409,LC113,61,610404,61,610400
121444,1409,LC056,62,620102,62,620100
121445,1409,LC030,42,421002,43,430100
121446,1409,LC091,61,612323,61,610700
121447,1409,LC001,61,612425,61,610103
121448,1409,LC018,14,142625,14,140800
121449,1409,LC056,62,620423,62,620100
121450,1409,LC200,37,370602,37,370600
121451,1409,LC339,61,610328,36,361100
121452,1409,LC282,62,620523,62,620500
121453,1409,LC112,61,610324,61,610500
121454,1409,LC115,31,310113,31,310106
121455,1409,LC115,31,310107,31,310106
121456,1409,LC163,14,140103,61,610113
121457,1409,LC091,61,612323,61,610700
121458,1409,LC282,62,622427,62,620500
121459,1409,LC282,62,622425,62,620500
121460,1409,LC113,32,320107,61,610400
121461,1409,LC349,62,620102,62,621100
121462,1409,LC091,61,612327,61,610700
121463,1409,LC001,61,610103,61,610103
121464,1409,LC018,14,142729,14,140800
121465,1409,LC282,62,620523,62,620500
121466,1409,LC345,33,330423,36,360400
121467,1409,LC282,62,622425,62,620500
121468,1409,LC018,14,142701,14,140800
121469,1409,LC023,33,330227,33,330200
121470,1409,LC199,37,371426,37,371500
121471,1409,LC159,44,441422,44,440303
121472,1409,LC282,62,620523,62,620500
121473,1409,LC282,62,620523,62,620500
121474,1409,LC282,62,620523,62,620500
121475,1409,LC200,37,370602,37,370600
121476,1409,LC010,61,612732,61,610400
121477,1409,LC091,61,612328,61,610700
121478,1409,LC160,61,610629,61,610103
121479,1409,LC282,62,620523,62,620500
121480,1409,LC282,62,620523,62,620500
121481,1409,LC028,53,530102,53,530100
121482,1409,LC163,13,130221,61,610113
121483,1409,LC091,61,612326,61,610700
121484,1409,LC091,61,612326,61,610700
121485,1409,LC282,62,620502,62,620500
121486,1409,LC004,61,610303,61,610300
121487,1409,LC282,62,620523,62,620500
121488,1409,LC091,61,612325,61,610700
121489,1409,LC160,61,610481,61,610103
121490,1409,LC004,61,610328,61,610300
121491,1409,LC282,62,622425,62,620500
121492,1409,LC165,13,130185,13,130100
121493,1409,LC056,61,610104,62,620100
121494,1409,LC282,62,622425,62,620500
121495,1409,LC091,61,612301,61,610700
121496,1409,LC091,61,612301,61,610700
121497,1409,LC001,15,152301,61,610103
121498,1409,LC091,61,612301,61,610700
121499,1409,LC160,32,320311,61,610103
121500,1409,LC091,61,612301,61,610700
121501,1409,LC112,61,612101,61,610500
121502,1409,LC282,62,620523,62,620500
121503,1409,LC016,41,410423,41,410100
121504,1409,LC160,61,610627,61,610103
121505,1409,LC115,31,310230,31,310106
121506,1409,LC001,61,612133,61,610103
121507,1409,LC091,61,612301,61,610700
121508,1409,LC091,61,612301,61,610700
121509,1409,LC091,61,612301,61,610700
121510,1409,LC091,61,612322,61,610700
121511,1409,LC091,61,612301,61,610700
121512,1409,LC091,61,612322,61,610700
121513,1409,LC116,41,410329,61,610800
121514,1409,LC001,61,610103,61,610103
121515,1409,LC115,41,410523,31,310106
121516,1409,LC004,61,612326,61,610300
121517,1409,LC005,61,612701,61,610800
121518,1409,LC091,61,612325,61,610700
121519,1409,LC116,61,612701,61,610800
121520,1409,LC091,61,612301,61,610700
121521,1409,LC340,53,532924,36,360900
121522,1409,LC091,61,612301,61,610700
121523,1409,LC091,61,612301,61,610700
121524,1409,LC091,61,612301,61,610700
121525,1409,LC091,61,612301,61,610700
121526,1409,LC345,51,513001,36,360400
121527,1409,LC056,62,620111,62,620100
121528,1409,LC001,61,612729,61,610103
121529,1409,LC159,64,640222,44,440303
121530,1409,LC199,37,371421,37,371500
121531,1409,LC028,53,530111,53,530100
121532,1409,LC112,61,610104,61,610500
121533,1409,LC056,62,622922,62,620100
121534,1409,LC112,61,610111,61,610500
121535,1409,LC016,41,410108,41,410100
121536,1409,LC159,44,440303,44,440303
121537,1409,LC159,43,432424,44,440303
121538,1409,LC116,61,612701,61,610800
121539,1409,LC056,61,610526,62,620100
121540,1409,LC004,61,610302,61,610300
121541,1409,LC056,62,620103,62,620100
121542,1409,LC016,41,410103,41,410100
121543,1409,LC010,61,610425,61,610400
121544,1409,LC113,61,610404,61,610400
121545,1409,LC023,33,330211,33,330200
121546,1409,LC001,61,612401,61,610103
121547,1409,LC016,41,410105,41,410100
121548,1409,LC005,61,612722,61,610800
121549,1409,LC091,61,612328,61,610700
121550,1409,LC001,61,612525,61,610103
121551,1409,LC056,62,620104,62,620100
121552,1409,LC172,44,440982,44,440106
121553,1409,LC004,61,610327,61,610300
121554,1409,LC010,61,610404,61,610400
121555,1409,LC091,61,612301,61,610700
121556,1409,LC091,61,612323,61,610700
121557,1409,LC004,61,610322,61,610300
121558,1409,LC091,61,612301,61,610700
121559,1409,LC003,41,411425,61,610114
121560,1409,LC091,61,612321,61,610700
121561,1409,LC113,61,610123,61,610400
